currency,brand,country,reference,year,product_url,image_url,price,collection,name,availability,currency_code,price_USD,price_GBP,price_EUR,price_JPY
$,PANERAI,USA,PAM01570,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01570-radiomir-quaranta.html,https://www.panerai.com/content/dam/rcq/pan/km/si/mL/Jw/F0/i4/ti/6H/nA/8r/_Q/kmsimLJwF0i4ti6HnA8r_Q.png,6000,Radiomir,Radiomir Quaranta,Available,USD,6000.0,4764.0,5776.8,903423.0000000001
$,PANERAI,USA,PAM01571,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01571-radiomir-quaranta.html,https://www.panerai.com/content/dam/rcq/pan/Ot/NA/-H/39/uE/Kv/rR/oH/H4/S8/hQ/OtNA-H39uEKvrRoHH4S8hQ.png,6000,Radiomir,Radiomir Quaranta,Out of Stock,USD,6000.0,4764.0,5776.8,903423.0000000001
$,PANERAI,USA,PAM01572,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01572-radiomir-quaranta.html,https://www.panerai.com/content/dam/rcq/pan/lz/DC/dU/3y/d0/iv/7I/zD/o2/1G/Ow/lzDCdU3yd0iv7IzDo21GOw.png,6000,Radiomir,Radiomir Quaranta,Available,USD,6000.0,4764.0,5776.8,903423.0000000001
$,PANERAI,USA,PAM01573,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01573-radiomir-quaranta.html,https://www.panerai.com/content/dam/rcq/pan/iY/f-/Ui/M1/wU/mo/nm/OC/S1/l_/kA/iYf-UiM1wUmonmOCS1l_kA.png,6000,Radiomir,Radiomir Quaranta,Available,USD,6000.0,4764.0,5776.8,903423.0000000001
$,PANERAI,USA,PAM01385,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01385-radiomir-officine.html,https://www.panerai.com/content/dam/rcq/pan/bc/NG/dJ/yn/8E/S9/WC/7R/lJ/b5/FA/bcNGdJyn8ES9WC7RlJb5FA.png,5400,Radiomir,Radiomir Officine,Out of Stock,USD,5400.0,4287.6,5199.12,813080.7000000001
$,PANERAI,USA,PAM01384,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01384-radiomir-officine.html,https://www.panerai.com/content/dam/rcq/pan/jM/Vd/8j/GV/v0/mK/Qt/r0/gL/SM/MA/jMVd8jGVv0mKQtr0gLSMMA.png,5400,Radiomir,Radiomir Officine,Available,USD,5400.0,4287.6,5199.12,813080.7000000001
$,PANERAI,USA,PAM01383,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01383-radiomir-officine.html,https://www.panerai.com/content/dam/rcq/pan/VZ/vB/8C/mR/E0/-8/ZC/8P/mN/A9/Qg/VZvB8CmRE0-8ZC8PmNA9Qg.png,4900,Radiomir,Radiomir Officine,Available,USD,4900.0,3890.6000000000004,4717.72,737795.4500000001
$,PANERAI,USA,PAM01382,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01382-radiomir-officine.html,https://www.panerai.com/content/dam/rcq/pan/Ku/v1/KD/o5/Rb/Gp/9m/Wf/ki/Al/cA/Kuv1KDo5RbGp9mWfkiAlcA.png,4900,Radiomir,Radiomir Officine,Available,USD,4900.0,3890.6000000000004,4717.72,737795.4500000001
$,PANERAI,USA,PAM01334,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01334-radiomir-tre-giorni.html,https://www.panerai.com/content/dam/rcq/pan/gF/8W/6q/zc/WU/WL/kh/SC/cT/uT/ww/gF8W6qzcWUWLkhSCcTuTww.png,7100,Radiomir,Radiomir Tre Giorni,Available,USD,7100.0,5637.400000000001,6835.88,1069050.55
$,PANERAI,USA,PAM01335,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01335-radiomir-tre-giorni.html,https://www.panerai.com/content/dam/rcq/pan/7w/I2/13/Xb/BE/Ga/MS/Z8/Y5/UA/Uw/7wI213XbBEGaMSZ8Y5UAUw.png,7100,Radiomir,Radiomir Tre Giorni,Available,USD,7100.0,5637.400000000001,6835.88,1069050.55
