,country,collection,reference,price_USD
443,Japan,Radiomir,PAM01570,6063.233
444,Japan,Radiomir,PAM01571,6063.233
445,Japan,Radiomir,PAM01572,6063.233
446,Japan,Radiomir,PAM01573,6063.233
448,Japan,Radiomir,PAM01384,5405.774
449,Japan,Radiomir,PAM01383,4967.468
450,Japan,Radiomir,PAM01382,4967.468
451,Japan,Radiomir,PAM01334,7085.947
452,Japan,Radiomir,PAM01335,7085.947
453,Japan,Radiomir,PAM01350,7085.947
460,Japan,Radiomir,PAM01026,18189.699
461,Japan,Radiomir,PAM01437,18189.699
464,Japan,Luminor,PAM01623,5624.927000000001
465,Japan,Luminor,PAM01087,5624.927000000001
466,Japan,Luminor,PAM01086,5624.927000000001
467,Japan,Luminor,PAM01084,6136.284000000001
468,Japan,Luminor,PAM01085,6136.284000000001
469,Japan,Luminor,PAM01624,6136.284000000001
470,Japan,Luminor,PAM01628,10519.344
471,Japan,Luminor,PAM00914,7085.947
472,Japan,Luminor,PAM00915,7597.304
473,Japan,Luminor,PAM01655,8108.661
474,Japan,Luminor,PAM00422,11322.905
475,Japan,Luminor,PAM01371,7816.457
476,Japan,Luminor,PAM01370,7816.457
477,Japan,Luminor,PAM01372,7816.457
478,Japan,Luminor,PAM01408,9277.477
480,Japan,Luminor,PAM01314,8766.12
481,Japan,Luminor,PAM01313,8766.12
482,Japan,Luminor,PAM01312,8766.12
483,Japan,Luminor,PAM01157,9496.63
485,Japan,Luminor,PAM01358,9496.63
487,Japan,Luminor,PAM01316,9569.681
490,Japan,Luminor,PAM02661,14902.404
491,Japan,Luminor,PAM02662,16363.424
492,Japan,Luminor,PAM01112,26882.768
493,Japan,Luminor,PAM01365,9204.426
494,Japan,Luminor,PAM01367,9204.426
496,Japan,Luminor,PAM01640,9861.885
498,Japan,Luminor,PAM01360,10665.446
499,Japan,Luminor,PAM01361,10665.446
500,Japan,Luminor,PAM01441,14975.455
502,Japan,Luminor,PAM01218,10081.038
503,Japan,Luminor,PAM01109,10081.038
504,Japan,Luminor,PAM01110,10811.548
505,Japan,Luminor,PAM01548,10811.548
506,Japan,Luminor,PAM01219,16655.628
507,Japan,Luminor,PAM01111,29512.604
515,Japan,Luminor,PAM00670,24106.83
518,Japan,Submersible,PAM01565,11322.905
520,Japan,Submersible,PAM01507,12345.619
522,Japan,Submersible,PAM01543,16655.628
523,Japan,Submersible,PAM01466,16655.628
525,Japan,Submersible,PAM01513,19796.821
526,Japan,Submersible,PAM01590,9569.681
527,Japan,Submersible,PAM02973,9569.681
529,Japan,Submersible,PAM02068,11761.211
530,Japan,Submersible,PAM01595,9934.936
531,Japan,Submersible,PAM01596,9934.936
532,Japan,Submersible,PAM01518,10227.14
534,Japan,Submersible,PAM01676,11907.313
536,Japan,Submersible,PAM01288,11615.109
537,Japan,Submersible,PAM01289,11615.109
538,Japan,Submersible,PAM01287,11615.109
539,Japan,Submersible,PAM02231,17605.291
541,Japan,Submersible,PAM01232,18628.005
545,Japan,Submersible,PAM02305,10738.497
546,Japan,Submersible,PAM02692,14902.404
547,Japan,Submersible,PAM01669,13660.537
549,Japan,Submersible,PAM02979,20235.127
555,Japan,Submersible,PAM02164,30023.961
556,Japan,Submersible,PAM02070,33457.358
557,Japan,Luminor Due,PAM01378,7378.151
558,Japan,Luminor Due,PAM01248,6939.845
559,Japan,Luminor Due,PAM01273,6939.845
560,Japan,Luminor Due,PAM01552,6939.845
563,Japan,Luminor Due,PAM01123,7670.355
564,Japan,Luminor Due,PAM01508,7889.508
565,Japan,Luminor Due,PAM01311,7889.508
566,Japan,Luminor Due,PAM01309,7889.508
567,Japan,Luminor Due,PAM01319,7889.508
569,Japan,Luminor Due,PAM01179,9642.732
570,Japan,Luminor Due,PAM01301,10446.293
571,Japan,Luminor Due,PAM01381,7816.457
572,Japan,Luminor Due,PAM01388,7305.1
573,Japan,Luminor Due,PAM01250,7305.1
576,Japan,Luminor Due,PAM01424,7305.1
577,Japan,Luminor Due,PAM01124,8108.661
578,Japan,Luminor Due,PAM01387,8254.763
579,Japan,Luminor Due,PAM01539,8254.763
580,Japan,Luminor Due,PAM01280,18628.005
581,Japan,Luminor Due,PAM01326,37329.061
583,Japan,Luminor Due,PAM01181,21550.045
585,Japan,Luminor Due,PAM01423,21550.045
586,Japan,Luminor Due,PAM01336,21550.045
