,country,collection,reference,price_USD
149,France,Radiomir,PAM01570,6335.46
150,France,Radiomir,PAM01571,6335.46
151,France,Radiomir,PAM01572,6335.46
152,France,Radiomir,PAM01573,6335.46
154,France,Radiomir,PAM01384,5712.3
155,France,Radiomir,PAM01383,5193.0
156,France,Radiomir,PAM01382,5193.0
157,France,Radiomir,PAM01334,7477.92
158,France,Radiomir,PAM01335,7477.92
159,France,Radiomir,PAM01350,7477.92
160,France,Radiomir,PAM01347,10282.14
161,France,Radiomir,PAM01348,10282.14
162,France,Radiomir,PAM01349,12982.5
166,France,Radiomir,PAM01026,19214.1
167,France,Radiomir,PAM01437,19214.1
168,France,Radiomir,PAM01363,41544.0
171,France,Luminor,PAM01623,5920.02
172,France,Luminor,PAM01087,5920.02
173,France,Luminor,PAM01086,5920.02
174,France,Luminor,PAM01084,6439.32
175,France,Luminor,PAM01085,6439.32
176,France,Luminor,PAM01624,6439.32
177,France,Luminor,PAM01628,11113.02
178,France,Luminor,PAM00914,7477.92
179,France,Luminor,PAM00915,7997.219999999999
180,France,Luminor,PAM01655,8516.52
181,France,Luminor,PAM00422,11943.9
182,France,Luminor,PAM01371,8204.94
183,France,Luminor,PAM01370,8204.94
184,France,Luminor,PAM01372,8204.94
185,France,Luminor,PAM01408,9762.84
186,France,Luminor,PAM01526,14021.1
187,France,Luminor,PAM01314,9243.54
188,France,Luminor,PAM01313,9243.54
189,France,Luminor,PAM01312,9243.54
190,France,Luminor,PAM01157,9970.56
191,France,Luminor,PAM01356,9970.56
192,France,Luminor,PAM01358,9970.56
193,France,Luminor,PAM01564,10074.42
194,France,Luminor,PAM01316,10074.42
195,France,Luminor,PAM01562,10074.42
197,France,Luminor,PAM02661,15682.86
198,France,Luminor,PAM02662,17240.76
199,France,Luminor,PAM01112,28353.78
200,France,Luminor,PAM01365,9658.98
201,France,Luminor,PAM01367,9658.98
202,France,Luminor,PAM01404,10178.28
203,France,Luminor,PAM01640,10386.0
204,France,Luminor,PAM01641,26899.74
205,France,Luminor,PAM01360,11216.88
206,France,Luminor,PAM01361,11216.88
207,France,Luminor,PAM01441,15786.72
209,France,Luminor,PAM01218,10593.72
210,France,Luminor,PAM01109,10593.72
211,France,Luminor,PAM01110,11424.6
212,France,Luminor,PAM01548,11424.6
213,France,Luminor,PAM01219,17552.34
214,France,Luminor,PAM01111,31158.0
216,France,Luminor,PAM01419,18902.52
219,France,Luminor,PAM00742,54007.2
220,France,Luminor,PAM00715,74779.2
222,France,Luminor,PAM00670,25445.7
224,France,Submersible,PAM01565,11943.9
226,France,Submersible,PAM01507,12982.5
228,France,Submersible,PAM01543,17552.34
229,France,Submersible,PAM01466,17552.34
231,France,Submersible,PAM01513,20875.86
232,France,Submersible,PAM01590,10074.42
233,France,Submersible,PAM02973,10074.42
234,France,Submersible,PAM02683,11113.02
235,France,Submersible,PAM02068,12359.34
236,France,Submersible,PAM01595,10489.86
237,France,Submersible,PAM01596,10489.86
238,France,Submersible,PAM01518,10801.44
240,France,Submersible,PAM01676,12567.06
242,France,Submersible,PAM01288,12255.48
243,France,Submersible,PAM01289,12255.48
244,France,Submersible,PAM01287,12255.48
245,France,Submersible,PAM02231,18590.94
247,France,Submersible,PAM01232,19629.54
248,France,Submersible,PAM01241,54007.2
251,France,Submersible,PAM02305,11320.74
252,France,Submersible,PAM02692,15682.86
253,France,Submersible,PAM01669,14436.54
254,France,Submersible,PAM02616,20044.98
255,France,Submersible,PAM02979,21395.16
259,France,Submersible,PAM02239,32196.6
261,France,Submersible,PAM02164,31677.3
262,France,Luminor Due,PAM01378,7789.5
263,France,Luminor Due,PAM01248,7270.2
264,France,Luminor Due,PAM01273,7270.2
268,France,Luminor Due,PAM01123,8101.08
269,France,Luminor Due,PAM01508,8308.8
270,France,Luminor Due,PAM01311,8308.8
271,France,Luminor Due,PAM01309,8308.8
272,France,Luminor Due,PAM01319,8308.8
274,France,Luminor Due,PAM01179,10178.28
275,France,Luminor Due,PAM01301,11009.16
276,France,Luminor Due,PAM01381,8204.94
277,France,Luminor Due,PAM01388,7685.639999999999
278,France,Luminor Due,PAM01250,7685.639999999999
279,France,Luminor Due,PAM01428,7685.639999999999
280,France,Luminor Due,PAM01429,7685.639999999999
281,France,Luminor Due,PAM01424,7685.639999999999
282,France,Luminor Due,PAM01124,8516.52
283,France,Luminor Due,PAM01387,8724.24
284,France,Luminor Due,PAM01539,8724.24
285,France,Luminor Due,PAM01280,19629.54
286,France,Luminor Due,PAM01326,39466.8
287,France,Luminor Due,PAM01182,39466.8
288,France,Luminor Due,PAM01181,22745.34
289,France,Luminor Due,PAM01504,42582.6
290,France,Luminor Due,PAM01423,22745.34
291,France,Luminor Due,PAM01336,22745.34
