,country,collection,reference,price_USD
443,Japan,Radiomir,PAM01570,6065.972
445,Japan,Radiomir,PAM01572,6065.972
446,Japan,Radiomir,PAM01573,6065.972
448,Japan,Radiomir,PAM01384,5408.215999999999
449,Japan,Radiomir,PAM01383,4969.712
450,Japan,Radiomir,PAM01382,4969.712
451,Japan,Radiomir,PAM01334,7089.148
452,Japan,Radiomir,PAM01335,7089.148
453,Japan,Radiomir,PAM01350,7089.148
460,Japan,Radiomir,PAM01026,18197.916
461,Japan,Radiomir,PAM01437,18197.916
464,Japan,Luminor,PAM01623,5627.468
465,Japan,Luminor,PAM01087,5627.468
466,Japan,Luminor,PAM01086,5627.468
467,Japan,Luminor,PAM01084,6139.056
468,Japan,Luminor,PAM01085,6139.056
469,Japan,Luminor,PAM01624,6139.056
470,Japan,Luminor,PAM01628,10524.096
471,Japan,Luminor,PAM00914,7089.148
472,Japan,Luminor,PAM00915,7600.736
473,Japan,Luminor,PAM01655,8112.324
474,Japan,Luminor,PAM00422,11328.02
475,Japan,Luminor,PAM01371,7819.987999999999
476,Japan,Luminor,PAM01370,7819.987999999999
477,Japan,Luminor,PAM01372,7819.987999999999
478,Japan,Luminor,PAM01408,9281.668
480,Japan,Luminor,PAM01314,8770.08
481,Japan,Luminor,PAM01313,8770.08
482,Japan,Luminor,PAM01312,8770.08
483,Japan,Luminor,PAM01157,9500.92
485,Japan,Luminor,PAM01358,9500.92
487,Japan,Luminor,PAM01316,9574.004
490,Japan,Luminor,PAM02661,14909.136
491,Japan,Luminor,PAM02662,16370.816
492,Japan,Luminor,PAM01112,26894.912
493,Japan,Luminor,PAM01365,9208.584
494,Japan,Luminor,PAM01367,9208.584
496,Japan,Luminor,PAM01640,9866.34
498,Japan,Luminor,PAM01360,10670.264
499,Japan,Luminor,PAM01361,10670.264
500,Japan,Luminor,PAM01441,14982.22
502,Japan,Luminor,PAM01218,10085.592
503,Japan,Luminor,PAM01109,10085.592
504,Japan,Luminor,PAM01110,10816.432
505,Japan,Luminor,PAM01548,10816.432
506,Japan,Luminor,PAM01219,16663.152
507,Japan,Luminor,PAM01111,29525.936
515,Japan,Luminor,PAM00670,24117.72
518,Japan,Submersible,PAM01565,11328.02
520,Japan,Submersible,PAM01507,12351.196
522,Japan,Submersible,PAM01543,16663.152
523,Japan,Submersible,PAM01466,16663.152
525,Japan,Submersible,PAM01513,19805.764
526,Japan,Submersible,PAM01590,9574.004
527,Japan,Submersible,PAM02973,9574.004
529,Japan,Submersible,PAM02068,11766.524
530,Japan,Submersible,PAM01595,9939.424
531,Japan,Submersible,PAM01596,9939.424
532,Japan,Submersible,PAM01518,10231.76
534,Japan,Submersible,PAM01676,11912.692
536,Japan,Submersible,PAM01288,11620.356
537,Japan,Submersible,PAM01289,11620.356
538,Japan,Submersible,PAM01287,11620.356
539,Japan,Submersible,PAM02231,17613.244
541,Japan,Submersible,PAM01232,18636.42
545,Japan,Submersible,PAM02305,10743.348
546,Japan,Submersible,PAM02692,14909.136
547,Japan,Submersible,PAM01669,13666.708
549,Japan,Submersible,PAM02979,20244.268
555,Japan,Submersible,PAM02164,30037.524
556,Japan,Submersible,PAM02070,33472.472
557,Japan,Luminor Due,PAM01378,7381.483999999999
558,Japan,Luminor Due,PAM01248,6942.98
559,Japan,Luminor Due,PAM01273,6942.98
560,Japan,Luminor Due,PAM01552,6942.98
563,Japan,Luminor Due,PAM01123,7673.82
564,Japan,Luminor Due,PAM01508,7893.072
565,Japan,Luminor Due,PAM01311,7893.072
566,Japan,Luminor Due,PAM01309,7893.072
567,Japan,Luminor Due,PAM01319,7893.072
569,Japan,Luminor Due,PAM01179,9647.088
570,Japan,Luminor Due,PAM01301,10451.012
571,Japan,Luminor Due,PAM01381,7819.987999999999
572,Japan,Luminor Due,PAM01388,7308.4
573,Japan,Luminor Due,PAM01250,7308.4
576,Japan,Luminor Due,PAM01424,7308.4
577,Japan,Luminor Due,PAM01124,8112.324
578,Japan,Luminor Due,PAM01387,8258.492
579,Japan,Luminor Due,PAM01539,8258.492
580,Japan,Luminor Due,PAM01280,18636.42
581,Japan,Luminor Due,PAM01326,37345.924
583,Japan,Luminor Due,PAM01181,21559.78
585,Japan,Luminor Due,PAM01423,21559.78
586,Japan,Luminor Due,PAM01336,21559.78
