collection,reference,best_sell_price,best_sell_country,min_price,min_price_country,profit
Luminor,PAM00422,12342.12,UK,11300.0,USA,1042.1200000000008
Luminor,PAM00670,26069.58,UK,24000.0,USA,2069.5800000000017
Luminor,PAM00715,74779.2,France,62400.0,USA,12379.199999999997
Luminor,PAM00742,54007.2,France,45100.0,USA,8907.199999999997
Luminor,PAM00914,7682.34,UK,7089.148,Japan,593.192
Luminor,PAM00915,8186.1,UK,7600.0,USA,586.1000000000004
Luminor,PAM00920,264783.332,Japan,233800.0,USA,30983.331999999995
Luminor,PAM01060,196295.4,France,163700.0,USA,32595.399999999994
Luminor,PAM01084,6674.820000000001,UK,6100.0,USA,574.8200000000006
Luminor,PAM01085,6674.820000000001,UK,6100.0,USA,574.8200000000006
Luminor,PAM01086,6171.06,UK,5600.0,USA,571.0600000000004
Luminor,PAM01087,6171.06,UK,5600.0,USA,571.0600000000004
Luminor,PAM01109,10956.78,UK,10000.0,USA,956.7800000000007
Luminor,PAM01110,11712.42,UK,10800.0,USA,912.4200000000001
Luminor,PAM01111,31988.76,UK,29400.0,USA,2588.7599999999984
Luminor,PAM01112,29092.140000000003,UK,26800.0,USA,2292.140000000003
Luminor,PAM01157,10201.14,UK,9400.0,USA,801.1399999999994
Luminor,PAM01218,10956.78,UK,10000.0,USA,956.7800000000007
Luminor,PAM01219,18009.420000000002,UK,16600.0,USA,1409.420000000002
Luminor,PAM01312,9571.44,UK,8770.08,Japan,801.3600000000006
Luminor,PAM01313,9571.44,UK,8770.08,Japan,801.3600000000006
Luminor,PAM01314,9571.44,UK,8770.08,Japan,801.3600000000006
Luminor,PAM01316,10327.08,UK,9500.0,USA,827.0799999999999
Luminor,PAM01356,10201.14,UK,9400.0,USA,801.1399999999994
Luminor,PAM01358,10201.14,UK,9400.0,USA,801.1399999999994
Luminor,PAM01360,11586.48,UK,10600.0,USA,986.4799999999996
Luminor,PAM01361,11586.48,UK,10600.0,USA,986.4799999999996
Luminor,PAM01365,9949.26,UK,9200.0,USA,749.2600000000002
Luminor,PAM01367,9949.26,UK,9200.0,USA,749.2600000000002
Luminor,PAM01370,8437.980000000001,UK,7800.0,USA,637.9800000000014
Luminor,PAM01371,8437.980000000001,UK,7800.0,USA,637.9800000000014
Luminor,PAM01372,8437.980000000001,UK,7800.0,USA,637.9800000000014
Luminor,PAM01404,10453.02,UK,9600.0,USA,853.0200000000004
Luminor,PAM01408,10075.2,UK,9281.668,Japan,793.5320000000011
Luminor,PAM01409,11964.3,UK,11000.0,USA,964.2999999999993
Luminor,PAM01412,10704.9,UK,9800.0,USA,904.8999999999996
Luminor,PAM01419,19394.76,UK,17900.0,USA,1494.7599999999984
Luminor,PAM01441,16246.26,UK,14900.0,USA,1346.2600000000002
Luminor,PAM01482,16498.14,UK,15200.0,USA,1298.1399999999994
Luminor,PAM01483,21157.92,UK,19500.0,USA,1657.9199999999983
Luminor,PAM01526,14357.160000000002,UK,13300.0,USA,1057.1600000000017
Luminor,PAM01548,11712.42,UK,10800.0,USA,912.4200000000001
Luminor,PAM01562,10327.08,UK,9500.0,USA,827.0799999999999
Luminor,PAM01564,10327.08,UK,9500.0,USA,827.0799999999999
Luminor,PAM01623,6171.06,UK,5600.0,USA,571.0600000000004
Luminor,PAM01624,6674.820000000001,UK,6100.0,USA,574.8200000000006
Luminor,PAM01628,11460.54,UK,10500.0,USA,960.5400000000009
Luminor,PAM01640,10704.9,UK,9800.0,USA,904.8999999999996
Luminor,PAM01641,27580.86,UK,25400.0,USA,2180.8600000000006
Luminor,PAM01655,8815.800000000001,UK,8100.0,USA,715.8000000000011
Luminor,PAM01674,20780.1,UK,19100.0,USA,1680.0999999999985
Luminor,PAM01688,55045.8,France,45900.0,USA,9145.800000000003
Luminor,PAM02661,16120.320000000002,UK,14800.0,USA,1320.3200000000015
Luminor,PAM02662,17757.54,UK,16300.0,USA,1457.5400000000009
Luminor Due,PAM01123,8312.04,UK,7673.82,Japan,638.2200000000012
Luminor Due,PAM01124,8815.800000000001,UK,8100.0,USA,715.8000000000011
Luminor Due,PAM01179,10453.02,UK,9600.0,USA,853.0200000000004
