country,min_price_country,collection,reference,price_USD,min_price,price_diff
France,Japan,RADIOMIR,PAM00655,10074.42,8039.24,2035.1800000000003
France,Japan,RADIOMIR,PAM00628,12047.76,9574.004,2473.7559999999994
France,Japan,RADIOMIR,PAM00657,11840.04,9427.836,2412.2040000000015
France,Japan,LUMINOR,PAM00661,12359.34,9866.34,2493.0
France,Japan,LUMINOR,PAM01312,8204.94,6577.56,1627.38
France,Japan,LUMINOR,PAM01499,8204.94,6577.56,1627.38
France,Japan,LUMINOR,PAM01523,7997.219999999999,6358.308,1638.9119999999994
France,Japan,LUMINOR,PAM00670,22745.34,18271.0,4474.34
France,Japan,SUBMERSIBLE,PAM01389,11943.9,9208.584,2735.315999999999
France,Japan,SUBMERSIBLE,PAM00692,13709.52,10889.516,2820.004000000001
France,Japan,SUBMERSIBLE,PAM01305,9970.56,7966.156,2004.4039999999995
France,Japan,LUMINOR,PAM01088,7581.78,6065.972,1515.808
France,Japan,LUMINOR,PAM01090,7789.5,6285.224,1504.2759999999998
France,Japan,LUMINOR,PAM00653,12463.2,10012.508,2450.692000000001
France,Japan,LUMINOR,PAM00654,12463.2,10012.508,2450.692000000001
France,Japan,LUMINOR,PAM00722,8828.1,7016.063999999999,1812.036000000001
France,Japan,LUMINOR-DUE,PAM00741,22329.9,17905.579999999998,4424.320000000003
France,Japan,LUMINOR,PAM01321,9866.7,7893.072,1973.6280000000006
France,Japan,LUMINOR,PAM01535,9243.54,7308.4,1935.1400000000012
France,Japan,LUMINOR,PAM01537,9658.98,7673.82,1985.1599999999999
France,Japan,LUMINOR-DUE,PAM00755,6335.46,4969.712,1365.7479999999996
France,Japan,LUMINOR-DUE,PAM00904,6647.04,5188.964,1458.076
France,Japan,LUMINOR-DUE,PAM00943,10282.14,8185.407999999999,2096.732
France,Japan,LUMINOR-DUE,PAM00944,11320.74,8989.332,2331.4079999999994
France,Japan,LUMINOR,PAM00774,5089.139999999999,4092.704,996.4359999999992
France,Japan,LUMINOR,PAM00775,5089.139999999999,4092.704,996.4359999999992
France,Japan,LUMINOR,PAM00776,5608.44,4458.124,1150.3159999999998
France,Japan,LUMINOR,PAM00777,5608.44,4458.124,1150.3159999999998
France,Japan,LUMINOR,PAM00778,5608.44,4458.124,1150.3159999999998
France,Japan,LUMINOR,PAM01441,14021.1,11181.852,2839.2479999999996
France,Japan,RADIOMIR,PAM00754,5089.139999999999,4092.704,996.4359999999992
France,Japan,RADIOMIR,PAM00753,4569.84,3654.2,915.6400000000003
France,Japan,LUMINOR,PAM00797,7997.219999999999,6358.308,1638.9119999999994
France,Japan,LUMINOR,PAM00795,7477.92,5846.719999999999,1631.2000000000007
France,Japan,LUMINOR,PAM00779,8204.94,6577.56,1627.38
France,Japan,SUBMERSIBLE,PAM00683,10074.42,8039.24,2035.1800000000003
France,Japan,SUBMERSIBLE,PAM00799,15475.14,12278.112,3197.0280000000002
