collection,reference,best_sell_price,best_sell_country,min_price,min_price_country,profit
Luminor,PAM00422,12376.419999999998,UK,11300.0,USA,1076.4199999999983
Luminor,PAM00670,26142.03,UK,24000.0,USA,2142.029999999999
Luminor,PAM00715,75031.2,France,62100.0,USA,12931.199999999997
Luminor,PAM00742,54189.2,France,44900.0,USA,9289.199999999997
Luminor,PAM00914,7703.69,UK,7100.0,USA,603.6899999999996
Luminor,PAM00915,8208.849999999999,UK,7600.0,USA,608.8499999999985
Luminor,PAM00920,234773.11,UK,232900.0,USA,1873.109999999986
Luminor,PAM01060,196956.9,France,163100.0,USA,33856.899999999994
Luminor,PAM01084,6693.37,UK,6100.0,USA,593.3699999999999
Luminor,PAM01085,6693.37,UK,6100.0,USA,593.3699999999999
Luminor,PAM01086,6188.209999999999,UK,5600.0,USA,588.2099999999991
Luminor,PAM01087,6188.209999999999,UK,5600.0,USA,588.2099999999991
Luminor,PAM01109,10987.23,UK,10000.0,USA,987.2299999999996
Luminor,PAM01110,11744.97,UK,10800.0,USA,944.9699999999993
Luminor,PAM01111,32077.66,UK,29400.0,USA,2677.66
Luminor,PAM01112,29172.99,UK,26800.0,USA,2372.9900000000016
Luminor,PAM01157,10229.49,UK,9400.0,USA,829.4899999999998
Luminor,PAM01218,10987.23,UK,10000.0,USA,987.2299999999996
Luminor,PAM01219,18059.47,UK,16600.0,USA,1459.4700000000012
Luminor,PAM01312,9598.04,UK,8800.0,USA,798.0400000000009
Luminor,PAM01313,9598.04,UK,8800.0,USA,798.0400000000009
Luminor,PAM01314,9598.04,UK,8800.0,USA,798.0400000000009
Luminor,PAM01316,10355.78,UK,9500.0,USA,855.7800000000007
Luminor,PAM01356,10229.49,UK,9400.0,USA,829.4899999999998
Luminor,PAM01358,10229.49,UK,9400.0,USA,829.4899999999998
Luminor,PAM01360,11618.679999999998,UK,10600.0,USA,1018.6799999999985
Luminor,PAM01361,11618.679999999998,UK,10600.0,USA,1018.6799999999985
Luminor,PAM01365,9976.91,UK,9200.0,USA,776.9099999999999
Luminor,PAM01367,9976.91,UK,9200.0,USA,776.9099999999999
Luminor,PAM01370,8461.43,UK,7800.0,USA,661.4300000000003
Luminor,PAM01371,8461.43,UK,7800.0,USA,661.4300000000003
Luminor,PAM01372,8461.43,UK,7800.0,USA,661.4300000000003
Luminor,PAM01404,10482.07,UK,9600.0,USA,882.0699999999997
Luminor,PAM01408,10103.2,UK,9300.0,USA,803.2000000000007
Luminor,PAM01409,11997.55,UK,11000.0,USA,997.5499999999993
Luminor,PAM01412,10734.65,UK,9800.0,USA,934.6499999999996
Luminor,PAM01419,19448.66,UK,17900.0,USA,1548.6599999999999
Luminor,PAM01441,16291.409999999998,UK,14900.0,USA,1391.409999999998
Luminor,PAM01482,16543.989999999998,UK,15200.0,USA,1343.989999999998
Luminor,PAM01483,21216.72,UK,19500.0,USA,1716.7200000000012
Luminor,PAM01526,14397.06,UK,13300.0,USA,1097.0599999999995
Luminor,PAM01548,11744.97,UK,10800.0,USA,944.9699999999993
Luminor,PAM01562,10355.78,UK,9500.0,USA,855.7800000000007
Luminor,PAM01564,10355.78,UK,9500.0,USA,855.7800000000007
Luminor,PAM01623,6188.209999999999,UK,5600.0,USA,588.2099999999991
Luminor,PAM01624,6693.37,UK,6100.0,USA,593.3699999999999
Luminor,PAM01628,11492.39,UK,10500.0,USA,992.3899999999994
Luminor,PAM01640,10734.65,UK,9800.0,USA,934.6499999999996
Luminor,PAM01641,27657.51,UK,25400.0,USA,2257.5099999999984
Luminor,PAM01655,8840.3,UK,8100.0,USA,740.2999999999993
Luminor,PAM01674,20837.85,UK,19100.0,USA,1737.8499999999985
Luminor,PAM01688,55231.3,France,45800.0,USA,9431.300000000003
Luminor,PAM02661,16165.12,UK,14800.0,USA,1365.1200000000008
Luminor,PAM02662,17806.89,UK,16300.0,USA,1506.8899999999994
Luminor Due,PAM01123,8335.14,UK,7700.0,USA,635.1399999999994
Luminor Due,PAM01124,8840.3,UK,8100.0,USA,740.2999999999993
Luminor Due,PAM01179,10482.07,UK,9600.0,USA,882.0699999999997
Luminor Due,PAM01181,23363.65,UK,21500.0,USA,1863.6500000000015
Luminor Due,PAM01182,40539.09,UK,37200.0,USA,3339.0899999999965
Luminor Due,PAM01248,7577.4,UK,6900.0,USA,677.3999999999996
Luminor Due,PAM01250,7956.269999999999,UK,7300.0,USA,656.2699999999986
Luminor Due,PAM01273,7577.4,UK,6900.0,USA,677.3999999999996
Luminor Due,PAM01280,20206.4,UK,18600.0,USA,1606.4000000000015
Luminor Due,PAM01301,11366.1,UK,10400.0,USA,966.1000000000004
Luminor Due,PAM01309,8587.72,UK,7900.0,USA,687.7199999999993
Luminor Due,PAM01311,8587.72,UK,7900.0,USA,687.7199999999993
Luminor Due,PAM01319,8587.72,UK,7900.0,USA,687.7199999999993
Luminor Due,PAM01326,40539.09,UK,37200.0,USA,3339.0899999999965
Luminor Due,PAM01329,42686.02,UK,39200.0,USA,3486.019999999997
Luminor Due,PAM01336,23363.65,UK,21500.0,USA,1863.6500000000015
Luminor Due,PAM01378,8082.559999999999,UK,7400.0,USA,682.5599999999986
Luminor Due,PAM01381,8461.43,UK,7800.0,USA,661.4300000000003
Luminor Due,PAM01387,8966.59,UK,8300.0,USA,666.5900000000001
Luminor Due,PAM01388,7956.269999999999,UK,7300.0,USA,656.2699999999986
Luminor Due,PAM01423,23363.65,UK,21500.0,USA,1863.6500000000015
Luminor Due,PAM01424,7956.269999999999,UK,7300.0,USA,656.2699999999986
Luminor Due,PAM01425,7577.4,UK,6900.0,USA,677.3999999999996
Luminor Due,PAM01426,7577.4,UK,6900.0,USA,677.3999999999996
Luminor Due,PAM01428,7956.269999999999,UK,7300.0,USA,656.2699999999986
Luminor Due,PAM01429,7956.269999999999,UK,7300.0,USA,656.2699999999986
Luminor Due,PAM01442,44832.95,UK,41200.0,USA,3632.949999999997
Luminor Due,PAM01494,44832.95,UK,41200.0,USA,3632.949999999997
Luminor Due,PAM01504,43696.34,UK,40200.0,USA,3496.3399999999965
Luminor Due,PAM01508,8587.72,UK,7900.0,USA,687.7199999999993
Luminor Due,PAM01539,8966.59,UK,8300.0,USA,666.5900000000001
Luminor Due,PAM01552,7577.4,UK,6900.0,USA,677.3999999999996
Luminor Due,PAM01557,10482.07,UK,9600.0,USA,882.0699999999997
Radiomir,PAM00600,396800.0,USA,396800.0,USA,0.0
Radiomir,PAM00760,20332.69,UK,18600.0,USA,1732.6899999999987
Radiomir,PAM01026,19827.53,UK,18200.0,USA,1627.5299999999988
Radiomir,PAM01284,177157.0,France,146700.0,USA,30457.0
Radiomir,PAM01334,7703.69,UK,7100.0,USA,603.6899999999996
