country,min_price_country,collection,reference,price_USD,min_price,price_diff
France,Japan,RADIOMIR,PAM00655,10074.42,8035.610000000001,2038.8099999999995
France,Japan,RADIOMIR,PAM00628,12047.76,9569.681,2478.0789999999997
France,Japan,RADIOMIR,PAM00657,11840.039999999999,9423.579,2416.4609999999993
France,Japan,LUMINOR,PAM00661,12359.34,9861.885,2497.455
France,Japan,LUMINOR,PAM01312,8204.94,6574.59,1630.3500000000004
France,Japan,LUMINOR,PAM01499,8204.94,6574.59,1630.3500000000004
France,Japan,LUMINOR,PAM01523,7997.219999999999,6355.437,1641.7829999999994
France,Japan,LUMINOR,PAM00670,22745.34,18262.75,4482.59
France,Japan,SUBMERSIBLE,PAM01389,11943.9,9204.426,2739.474
France,Japan,SUBMERSIBLE,PAM00692,13709.52,10884.599,2824.9210000000003
France,Japan,SUBMERSIBLE,PAM01305,9970.56,7962.559,2008.0009999999993
France,Japan,LUMINOR,PAM01088,7581.78,6063.233,1518.5469999999996
France,Japan,LUMINOR,PAM01090,7789.5,6282.386,1507.1139999999996
France,Japan,LUMINOR,PAM00653,12463.199999999999,10007.987000000001,2455.212999999998
France,Japan,LUMINOR,PAM00654,12463.199999999999,10007.987000000001,2455.212999999998
France,Japan,LUMINOR,PAM00722,8828.1,7012.896000000001,1815.2039999999997
France,Japan,LUMINOR-DUE,PAM00741,22329.899999999998,17897.495,4432.404999999999
France,Japan,LUMINOR,PAM01321,9866.699999999999,7889.508,1977.191999999999
France,Japan,LUMINOR,PAM01535,9243.539999999999,7305.1,1938.4399999999987
France,Japan,LUMINOR,PAM01537,9658.98,7670.3550000000005,1988.624999999999
France,Japan,LUMINOR-DUE,PAM00755,6335.46,4967.468,1367.9920000000002
France,Japan,LUMINOR-DUE,PAM00904,6647.04,5186.621,1460.4189999999999
France,Japan,LUMINOR-DUE,PAM00943,10282.14,8181.712,2100.427999999999
France,Japan,LUMINOR-DUE,PAM00944,11320.74,8985.273000000001,2335.4669999999987
France,Japan,LUMINOR,PAM00774,5089.139999999999,4090.856,998.2839999999992
France,Japan,LUMINOR,PAM00775,5089.139999999999,4090.856,998.2839999999992
France,Japan,LUMINOR,PAM00776,5608.44,4456.111,1152.3289999999997
France,Japan,LUMINOR,PAM00777,5608.44,4456.111,1152.3289999999997
France,Japan,LUMINOR,PAM00778,5608.44,4456.111,1152.3289999999997
France,Japan,LUMINOR,PAM01441,14021.1,11176.803,2844.2970000000005
France,Japan,RADIOMIR,PAM00754,5089.139999999999,4090.856,998.2839999999992
France,Japan,RADIOMIR,PAM00753,4569.84,3652.55,917.29
France,Japan,LUMINOR,PAM00797,7997.219999999999,6355.437,1641.7829999999994
France,Japan,LUMINOR,PAM00795,7477.92,5844.08,1633.8400000000001
France,Japan,LUMINOR,PAM00779,8204.94,6574.59,1630.3500000000004
