collection,reference,price,currency,country,year,price_USD,price_USD_median,Price Difference,Difference Rate (%)
LUMINOR,PAM00233,12000.0,EUR,France,2021,14160.0,14463.0,-303.0,-2.0950010371292263
LUMINOR,PAM00233,1507000.0,JPY,Japan,2021,13713.7,14463.0,-749.2999999999993,-5.180806195118573
LUMINOR,PAM00233,10700.0,GBP,UK,2021,14765.999999999998,14463.0,302.9999999999982,2.095001037129214
LUMINOR,PAM00233,15600.0,USD,USA,2021,15600.0,14463.0,1137.0,7.861439535366106
LUMINOR,PAM00422,9800.0,EUR,France,2021,11564.0,11647.0,-83.0,-0.7126298617669786
LUMINOR,PAM00422,1221000.0,JPY,Japan,2021,11111.1,11647.0,-535.8999999999996,-4.601184854468959
LUMINOR,PAM00422,8500.0,GBP,UK,2021,11730.0,11647.0,83.0,0.7126298617669786
LUMINOR,PAM00422,12800.0,USD,USA,2021,12800.0,11647.0,1153.0,9.899544947196704
LUMINOR,PAM00423,9900.0,EUR,France,2021,11682.0,11809.5,-127.5,-1.0796392734662772
LUMINOR,PAM00423,1232000.0,JPY,Japan,2021,11211.2,11809.5,-598.2999999999993,-5.066260214234297
LUMINOR,PAM00423,8650.0,GBP,UK,2021,11936.999999999998,11809.5,127.49999999999818,1.0796392734662617
LUMINOR,PAM00423,12900.0,USD,USA,2021,12900.0,11809.5,1090.5,9.234091197764512
RADIOMIR,PAM00424,7800.0,EUR,France,2021,9204.0,9363.0,-159.0,-1.6981736622877281
RADIOMIR,PAM00424,979000.0,JPY,Japan,2021,8908.9,9363.0,-454.10000000000036,-4.849941258143761
RADIOMIR,PAM00424,6900.0,GBP,UK,2021,9522.0,9363.0,159.0,1.6981736622877281
RADIOMIR,PAM00424,10200.0,USD,USA,2021,10200.0,9363.0,837.0,8.93944248638257
RADIOMIR,PAM00425,7800.0,EUR,France,2021,9204.0,9363.0,-159.0,-1.6981736622877281
RADIOMIR,PAM00425,979000.0,JPY,Japan,2021,8908.9,9363.0,-454.10000000000036,-4.849941258143761
RADIOMIR,PAM00425,6900.0,GBP,UK,2021,9522.0,9363.0,159.0,1.6981736622877281
RADIOMIR,PAM00425,10200.0,USD,USA,2021,10200.0,9363.0,837.0,8.93944248638257
LUMINOR,PAM00524,10900.0,EUR,France,2021,12862.0,13193.0,-331.0,-2.508906238156598
LUMINOR,PAM00524,1353000.0,JPY,Japan,2021,12312.300000000001,13193.0,-880.6999999999989,-6.675509740013635
LUMINOR,PAM00524,9800.0,GBP,UK,2021,13523.999999999998,13193.0,330.9999999999982,2.5089062381565843
LUMINOR,PAM00524,14200.0,USD,USA,2021,14200.0,13193.0,1007.0,7.632835594633518
LUMINOR,PAM00526,16900.0,EUR,France,2021,19942.0,20252.0,-310.0,-1.53071301599842
LUMINOR,PAM00526,2112000.0,JPY,Japan,2021,19219.2,20252.0,-1032.7999999999993,-5.099743235236023
LUMINOR,PAM00526,14900.0,GBP,UK,2021,20562.0,20252.0,310.0,1.53071301599842
LUMINOR,PAM00526,22000.0,USD,USA,2021,22000.0,20252.0,1748.0,8.631246296662058
LUMINOR,PAM00561,6200.0,EUR,France,2021,7316.0,7384.0,-68.0,-0.9209100758396532
LUMINOR,PAM00561,770000.0,JPY,Japan,2021,7007.0,7384.0,-377.0,-5.105633802816902
LUMINOR,PAM00561,5400.0,GBP,UK,2021,7451.999999999999,7384.0,67.99999999999909,0.9209100758396409
LUMINOR,PAM00561,8100.0,USD,USA,2021,8100.0,7384.0,716.0,9.69664138678223
RADIOMIR,PAM00577,10900.0,EUR,France,2021,12862.0,13193.0,-331.0,-2.508906238156598
RADIOMIR,PAM00577,1353000.0,JPY,Japan,2021,12312.300000000001,13193.0,-880.6999999999989,-6.675509740013635
RADIOMIR,PAM00577,9800.0,GBP,UK,2021,13523.999999999998,13193.0,330.9999999999982,2.5089062381565843
RADIOMIR,PAM00577,14200.0,USD,USA,2021,14200.0,13193.0,1007.0,7.632835594633518
SUBMERSIBLE,PAM00616,16900.0,EUR,France,2021,19942.0,20390.0,-448.0,-2.1971554683668466
SUBMERSIBLE,PAM00616,2112000.0,JPY,Japan,2021,19219.2,20390.0,-1170.7999999999993,-5.742030407062282
SUBMERSIBLE,PAM00616,15100.0,GBP,UK,2021,20838.0,20390.0,448.0,2.1971554683668466
SUBMERSIBLE,PAM00616,22000.0,USD,USA,2021,22000.0,20390.0,1610.0,7.896027464443354
RADIOMIR,PAM00619,10400.0,EUR,France,2021,12272.0,12553.0,-281.0,-2.238508723014419
RADIOMIR,PAM00619,1298000.0,JPY,Japan,2021,11811.800000000001,12553.0,-741.1999999999989,-5.904564645901369
RADIOMIR,PAM00619,9300.0,GBP,UK,2021,12833.999999999998,12553.0,280.9999999999982,2.2385087230144043
RADIOMIR,PAM00619,13600.0,USD,USA,2021,13600.0,12553.0,1047.0,8.340635704612444
RADIOMIR,PAM00628,11600.0,EUR,France,2021,13688.0,14020.0,-332.0,-2.3680456490727533
RADIOMIR,PAM00628,1441000.0,JPY,Japan,2021,13113.1,14020.0,-906.8999999999996,-6.468616262482166
RADIOMIR,PAM00628,10400.0,GBP,UK,2021,14351.999999999998,14020.0,331.9999999999982,2.3680456490727404
RADIOMIR,PAM00628,15100.0,USD,USA,2021,15100.0,14020.0,1080.0,7.703281027104136
LUMINOR,PAM00653,12000.0,EUR,France,2021,14160.0,14463.0,-303.0,-2.0950010371292263
LUMINOR,PAM00653,1507000.0,JPY,Japan,2021,13713.7,14463.0,-749.2999999999993,-5.180806195118573
LUMINOR,PAM00653,10700.0,GBP,UK,2021,14765.999999999998,14463.0,302.9999999999982,2.095001037129214
LUMINOR,PAM00653,15600.0,USD,USA,2021,15600.0,14463.0,1137.0,7.861439535366106
LUMINOR,PAM00654,12000.0,EUR,France,2021,14160.0,14463.0,-303.0,-2.0950010371292263
LUMINOR,PAM00654,1507000.0,JPY,Japan,2021,13713.7,14463.0,-749.2999999999993,-5.180806195118573
LUMINOR,PAM00654,10700.0,GBP,UK,2021,14765.999999999998,14463.0,302.9999999999982,2.095001037129214
LUMINOR,PAM00654,15600.0,USD,USA,2021,15600.0,14463.0,1137.0,7.861439535366106
RADIOMIR,PAM00655,9700.0,EUR,France,2021,11446.0,11726.0,-280.0,-2.3878560463926317
RADIOMIR,PAM00655,1210000.0,JPY,Japan,2021,11011.0,11726.0,-715.0,-6.097560975609756
RADIOMIR,PAM00655,8700.0,GBP,UK,2021,12005.999999999998,11726.0,279.9999999999982,2.387856046392616
RADIOMIR,PAM00655,12600.0,USD,USA,2021,12600.0,11726.0,874.0,7.453522087668429
RADIOMIR,PAM00657,11400.0,EUR,France,2021,13452.0,13764.0,-312.0,-2.2667829119442024
RADIOMIR,PAM00657,1419000.0,JPY,Japan,2021,12912.900000000001,13764.0,-851.0999999999985,-6.1835222319093175
RADIOMIR,PAM00657,10200.0,GBP,UK,2021,14075.999999999998,13764.0,311.9999999999982,2.266782911944189
RADIOMIR,PAM00657,14900.0,USD,USA,2021,14900.0,13764.0,1136.0,8.253414705027607
LUMINOR,PAM00661,11900.0,EUR,France,2021,14042.0,14335.0,-293.0,-2.0439483780955703
LUMINOR,PAM00661,1485000.0,JPY,Japan,2021,13513.5,14335.0,-821.5,-5.730728985001744
LUMINOR,PAM00661,10600.0,GBP,UK,2021,14627.999999999998,14335.0,292.9999999999982,2.0439483780955574
LUMINOR,PAM00661,15500.0,USD,USA,2021,15500.0,14335.0,1165.0,8.12696198116498
SUBMERSIBLE,PAM00683,9700.0,EUR,France,2021,11446.0,11588.0,-142.0,-1.2254055919917155
SUBMERSIBLE,PAM00683,1210000.0,JPY,Japan,2021,11011.0,11588.0,-577.0,-4.979288919571971
SUBMERSIBLE,PAM00683,8500.0,GBP,UK,2021,11730.0,11588.0,142.0,1.2254055919917155
SUBMERSIBLE,PAM00683,12600.0,USD,USA,2021,12600.0,11588.0,1012.0,8.733172247152227
SUBMERSIBLE,PAM00692,13200.0,EUR,France,2021,15576.0,15723.0,-147.0,-0.9349360809005915
SUBMERSIBLE,PAM00692,1639000.0,JPY,Japan,2021,14914.900000000001,15723.0,-808.0999999999985,-5.139604401195692
SUBMERSIBLE,PAM00692,11500.0,GBP,UK,2021,15869.999999999998,15723.0,146.99999999999818,0.9349360809005799
SUBMERSIBLE,PAM00692,17200.0,USD,USA,2021,17200.0,15723.0,1477.0,9.393881574763085
LUMINOR,PAM00715,66000.0,EUR,France,2021,77880.0,79926.0,-2046.0,-2.559867877786953
LUMINOR,PAM00715,8217000.0,JPY,Japan,2021,74774.7,79926.0,-5151.300000000003,-6.445086705202316
LUMINOR,PAM00715,59400.0,GBP,UK,2021,81972.0,79926.0,2046.0,2.559867877786953
LUMINOR,PAM00715,85900.0,USD,USA,2021,85900.0,79926.0,5974.0,7.474413832795336
LUMINOR,PAM00722,8500.0,EUR,France,2021,10030.0,10121.0,-91.0,-0.8991206402529395
LUMINOR,PAM00722,1056000.0,JPY,Japan,2021,9609.6,10121.0,-511.39999999999964,-5.0528603892895925
LUMINOR,PAM00722,7400.0,GBP,UK,2021,10212.0,10121.0,91.0,0.8991206402529395
LUMINOR,PAM00722,11100.0,USD,USA,2021,11100.0,10121.0,979.0,9.672957217666237
LUMINOR-DUE,PAM00741,21500.0,EUR,France,2021,25370.0,26002.0,-632.0,-2.4305822629028535
LUMINOR-DUE,PAM00741,2695000.0,JPY,Japan,2021,24524.5,26002.0,-1477.5,-5.682255211137605
LUMINOR-DUE,PAM00741,19300.0,GBP,UK,2021,26633.999999999996,26002.0,631.9999999999964,2.4305822629028397
LUMINOR-DUE,PAM00741,28500.0,USD,USA,2021,28500.0,26002.0,2498.0,9.606953311283748
LUMINOR,PAM00742,46000.0,EUR,France,2021,54280.0,55706.0,-1426.0,-2.559867877786953
LUMINOR,PAM00742,5720000.0,JPY,Japan,2021,52052.0,55706.0,-3654.0,-6.559437044483539
LUMINOR,PAM00742,41400.0,GBP,UK,2021,57131.99999999999,55706.0,1425.9999999999927,2.5598678777869397
LUMINOR,PAM00742,59700.0,USD,USA,2021,59700.0,55706.0,3994.0,7.16978422432054
RADIOMIR,PAM00753,4400.0,EUR,France,2021,5192.0,5218.0,-26.0,-0.4982752012265236
RADIOMIR,PAM00753,550000.0,JPY,Japan,2021,5005.0,5218.0,-213.0,-4.082023763894212
RADIOMIR,PAM00753,3800.0,GBP,UK,2021,5244.0,5218.0,26.0,0.4982752012265236
RADIOMIR,PAM00753,5700.0,USD,USA,2021,5700.0,5218.0,482.0,9.237255653507091
RADIOMIR,PAM00754,4900.0,EUR,France,2021,5782.0,5789.0,-7.0,-0.12091898428053204
RADIOMIR,PAM00754,616000.0,JPY,Japan,2021,5605.6,5789.0,-183.39999999999964,-3.1680773881499333
RADIOMIR,PAM00754,4200.0,GBP,UK,2021,5796.0,5789.0,7.0,0.12091898428053204
RADIOMIR,PAM00754,6400.0,USD,USA,2021,6400.0,5789.0,611.0,10.554499913629297
LUMINOR-DUE,PAM00755,6100.0,EUR,France,2021,7198.0,7394.0,-196.0,-2.6507979442791454
LUMINOR-DUE,PAM00755,748000.0,JPY,Japan,2021,6806.8,7394.0,-587.1999999999998,-7.941574249391397
LUMINOR-DUE,PAM00755,5500.0,GBP,UK,2021,7589.999999999999,7394.0,195.9999999999991,2.650797944279133
LUMINOR-DUE,PAM00755,8000.0,USD,USA,2021,8000.0,7394.0,606.0,8.195834460373277
LUMINOR,PAM00764,12900.0,EUR,France,2021,15222.0,15546.0,-324.0,-2.084137398687765
LUMINOR,PAM00764,1606000.0,JPY,Japan,2021,14614.6,15546.0,-931.3999999999996,-5.991251768943777
LUMINOR,PAM00764,11500.0,GBP,UK,2021,15869.999999999998,15546.0,323.9999999999982,2.0841373986877536
LUMINOR,PAM00764,16800.0,USD,USA,2021,16800.0,15546.0,1254.0,8.066383635661907
